# Sequence IQ V1 Puzzle Content
# Format: ID|Difficulty|Sequence|Options|Correct

E01|Easy|2,4,6,8,?,12|10,14,6,16|10
E02|Easy|3,5,7,9,?,13|11,15,7,17|11
E03|Easy|4,6,8,10,?,14|12,16,8,18|12
E04|Easy|5,7,9,11,?,15|13,17,9,19|13
E05|Easy|6,8,10,12,?,16|14,18,10,20|14
E06|Easy|7,9,11,13,?,17|15,19,11,21|15
E07|Easy|8,10,12,14,?,18|16,20,12,22|16
E08|Easy|9,11,13,15,?,19|17,21,13,23|17
E09|Easy|10,12,14,16,?,20|18,22,14,24|18
E10|Easy|11,13,15,17,?,21|19,23,15,25|19
E11|Easy|12,14,16,18,?,22|20,24,16,26|20
E12|Easy|13,15,17,19,?,23|21,25,17,27|21
E13|Easy|14,16,18,20,?,24|22,26,18,28|22
E14|Easy|15,17,19,21,?,25|23,27,19,29|23
E15|Easy|16,18,20,22,?,26|24,28,20,30|24
E16|Easy|17,19,21,23,?,27|25,29,21,31|25
E17|Easy|18,20,22,24,?,28|26,30,22,32|26
E18|Easy|19,21,23,25,?,29|27,31,23,33|27
E19|Easy|20,22,24,26,?,30|28,32,24,34|28
E20|Easy|21,23,25,27,?,31|29,33,25,35|29
H01|Hard|2,4,8,16,?,64|32,24,48,64|32
H02|Hard|3,6,12,24,?,96|48,36,72,96|48
H03|Hard|4,8,16,32,?,128|64,48,96,128|64
H04|Hard|5,10,20,40,?,160|80,60,120,160|80
H05|Hard|6,12,24,48,?,192|96,72,144,192|96
H06|Hard|7,14,28,56,?,224|112,84,168,224|112
H07|Hard|8,16,32,64,?,256|128,96,192,256|128
H08|Hard|9,18,36,72,?,288|144,108,216,288|144
H09|Hard|10,20,40,80,?,320|160,120,240,320|160
H10|Hard|11,22,44,88,?,352|176,132,264,352|176
H11|Hard|12,24,48,96,?,384|192,144,288,384|192
H12|Hard|13,26,52,104,?,416|208,156,312,416|208
H13|Hard|14,28,56,112,?,448|224,168,336,448|224
H14|Hard|15,30,60,120,?,480|240,180,360,480|240
H15|Hard|16,32,64,128,?,512|256,192,384,512|256
H16|Hard|17,34,68,136,?,544|272,204,408,544|272
H17|Hard|18,36,72,144,?,576|288,216,432,576|288
H18|Hard|19,38,76,152,?,608|304,228,456,608|304
H19|Hard|20,40,80,160,?,640|320,240,480,640|320
H20|Hard|21,42,84,168,?,672|336,252,504,672|336
M01|Master|2,5,10,17,?,37|26,33,23,38|26
M02|Master|3,6,11,18,?,38|27,34,24,39|27
M03|Master|4,7,12,19,?,39|28,35,25,40|28
M04|Master|5,8,13,20,?,40|29,36,26,41|29
M05|Master|6,9,14,21,?,41|30,37,27,42|30
M06|Master|7,10,15,22,?,42|31,38,28,43|31
M07|Master|8,11,16,23,?,43|32,39,29,44|32
M08|Master|9,12,17,24,?,44|33,40,30,45|33
M09|Master|10,13,18,25,?,45|34,41,31,46|34
M10|Master|11,14,19,26,?,46|35,42,32,47|35
M11|Master|12,15,20,27,?,47|36,43,33,48|36
M12|Master|13,16,21,28,?,48|37,44,34,49|37
M13|Master|14,17,22,29,?,49|38,45,35,50|38
M14|Master|15,18,23,30,?,50|39,46,36,51|39
M15|Master|16,19,24,31,?,51|40,47,37,52|40
M16|Master|17,20,25,32,?,52|41,48,38,53|41
M17|Master|18,21,26,33,?,53|42,49,39,54|42
M18|Master|19,22,27,34,?,54|43,50,40,55|43
M19|Master|20,23,28,35,?,55|44,51,41,56|44
M20|Master|21,24,29,36,?,56|45,52,42,57|45
